Commune,Code Insee,Code postal,Intercommunalité,Superficie (km²),Population (2012),Densité (hab./km²)
Les Adrets-de-l'Estérel,83001,83600,Var Estérel Méditerranée,"22,26",2 788,125
Aiguines,83002,83630,Lacs et Gorges du Verdon,"114,33",269,"2,4"
Ampus,83003,83111,Dracénoise,"82,77",931,11
Les Arcs,83004,83460,Dracénoise,"54,26",6 971,128
Artignosc-sur-Verdon,83005,83630,Lacs et Gorges du Verdon,"18,53",310,17
Artigues,83006,83560,Provence Verdon,"31,85",216,"6,8"
Aups,83007,83630,Lacs et Gorges du Verdon,"64,15",2 113,33
Bagnols-en-Forêt,83008,83600,Pays de Fayence,"42,9",2 565,60
Bandol,83009,83150,Sud Sainte Baume,"8,59",7 622,887
Bargème,83010,83840,Artuby Verdon,"27,95",180,"6,4"
Bargemon,83011,83830,Dracénoise,"35,14",1 529,44
Barjols,83012,83670,Provence Verdon,"30,06",3 080,102
La Bastide,83013,83840,Artuby Verdon,"11,76",200,17
Baudinard-sur-Verdon,83014,83630,Lacs et Gorges du Verdon,"21,97",202,"9,2"
Bauduen,83015,83630,Lacs et Gorges du Verdon,"47,45",324,"6,8"
Le Beausset,83016,83330,Sud Sainte Baume,"35,95",9 204,256
Belgentier,83017,83210,Vallée du Gapeau,"13,38",2 421,181
Besse-sur-Issole,83018,83890,Cœur du Var,"37,19",3 025,81
Bormes-les-Mimosas,83019,83230,Méditerranée Porte des Maures,"97,32",7 698,79
Le Bourguet,83020,83840,Artuby Verdon,"25,39",26,1
Bras,83021,83149,Sainte-Baume Mont-Aurélien,"34,93",2 543,73
Brenon,83022,83840,Artuby Verdon,"5,59",24,"4,3"
Brignoles,83023,83170,Comté de Provence,"70,53",16 454,233
Brue-Auriac,83025,83119,Provence Verdon,"36,73",1 222,33
Cabasse,83026,83340,Cœur du Var,"45,49",1 949,43
La Cadière-d'Azur,83027,83740,Sud Sainte Baume,"37,42",5 448,146
Callas,83028,83830,Dracénoise,"49,26",1 829,37
Callian,83029,83440,Pays de Fayence,"25,42",3 346,132
Camps-la-Source,83030,83170,Comté de Provence,"22,47",1 788,80
Le Cannet-des-Maures,83031,83340,Cœur du Var,"73,64",4 187,57
Carcès,83032,83570,Comté de Provence,"35,76",3 386,95
Carnoules,83033,83660,Cœur du Var,"25,49",3 385,133
Carqueiranne,83034,83320,Toulon Provence Méditerranée,"14,48",9 899,684
Le Castellet,83035,83330,Sud Sainte Baume,"44,77",4 083,91
Cavalaire-sur-Mer,83036,83240,Golfe de Saint-Tropez,"16,74",7 062,422
La Celle,83037,83170,Comté de Provence,21,1 353,64
Châteaudouble,83038,83300,Dracénoise,"40,91",452,11
Châteauvert,83039,83670,Comté de Provence,"27,52",136,"4,9"
